                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                    1350                                     1479                  1.0000000000000000E+000                  0.0000000000000000E+000                  3.1474321750237215E+006                  9.6579347633123067E+000                  4.9214446305878228E+003                  2.5309885121388729E+006                  2.1913851619198972E+003                 -5.5990752350520046E+000                  1.6200274055866115E-030                  0.0000000000000000E+000                  9.7124748761767765E-001                  2.8510843151741103E-002                  1.8883585681656826E-011                  2.3945865382508672E-004                  2.2105539778728915E-006                  1.0000000000000000E+002                  0.0000000000000000E+000                  2.0851069426274034E+001                  6.7298143739430818E-005                  7.7812314072592130E+001                  1.3253055576390980E+000                  1.1553479174558594E-005                  1.1129266675595691E-002                  1.0282501525054268E-004                  5.2699505666814758E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9957633656287655E+001                  2.1860008146329751E+003                  9.9953296883044061E+001                  2.1853237777343297E+003                  1.0270974394202240E+008                  4.2322435165621116E+001                  3.9510254400756874E+005                  2.6582352814890449E+006                  3.4132513925798703E+005                  2.2890781151224370E+006                  2.3655114901883524E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  9.9327136643865953E+013                                  "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20210127" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       dm                                     grav                                    log_g                                   radius                                radius_cm                               mass_grams                                     mmid                              temperature                                      rho                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                       net_nuclear_energy                               net_energy 
                                       1                  1.0000000000000000E+002                  3.3407187166731749E+000                  3.6920926034033599E+000                 -9.1671338825069917E+000                  2.3110795301314933E+000                  7.5999999999953549E-001                  2.4000000000046448E-001                  0.0000000000000000E+000                  9.9460000000004000E+022                  5.7075788513161496E-001                 -2.4354807993322516E-001                  2.1913851619198972E+003                  1.5251602449930100E+014                  1.9891999999999998E+035                  9.9999999999974989E+001                  4.9214446308816496E+003                  6.8055952627575097E-010                  2.0468194259999240E+002                  1.4794563055055476E+000                  2.0320248629448685E+002                  2.3079290174768925E+000                  9.9277192561926753E-001                  0.0000000000000000E+000                  9.1400244007990628E-001 
                                       2                  9.9999999999949992E+001                  3.3407187166717494E+000                  3.6920926035240842E+000                 -9.1671338820549728E+000                  2.3110795310937915E+000                  7.5999999999953549E-001                  2.4000000000046448E-001                  0.0000000000000000E+000                  3.6508362569915665E+023                  5.7075788513507675E-001                 -2.4354807993059105E-001                  2.1913851619127036E+003                  1.5251602449880034E+014                  1.9891999999990051E+035                  9.9999999999858218E+001                  4.9214446322497060E+003                  6.8055952698408672E-010                  2.0468194305352122E+002                  1.4794563071505766E+000                  2.0320248674637065E+002                  2.3079290184426808E+000                  9.9277192562724637E-001                  0.0000000000000000E+000                  9.1400243734490494E-001 
                                       3                  9.9999999999766459E+001                  3.3407187166665251E+000                  3.6920926038973763E+000                 -9.1671338806572713E+000                  2.3110795340693380E+000                  7.5999999999953549E-001                  2.4000000000046451E-001                  0.0000000000000000E+000                  1.0713334840677867E+024                  5.7075788514776105E-001                 -2.4354807992093946E-001                  2.1913851618863423E+003                  1.5251602449696566E+014                  1.9891999999953542E+035                  9.9999999999497163E+001                  4.9214446364798669E+003                  6.8055952917434848E-010                  2.0468194445588901E+002                  1.4794563122371629E+000                  2.0320248814365183E+002                  2.3079290214290200E+000                  9.9277192565191785E-001                  0.0000000000000000E+000                  9.1400242888858774E-001 
                                       4                  9.9999999999227882E+001                  3.3407187166511916E+000                  3.6920926054028205E+000                 -9.1671338750205091E+000                  2.3110795460693638E+000                  7.5999999999953538E-001                  2.4000000000046465E-001                  0.0000000000000000E+000                  4.7215695914193484E+024                  5.7075788518499060E-001                 -2.4354807989261118E-001                  2.1913851618089711E+003                  1.5251602449158078E+014                  1.9891999999846410E+035                  9.9999999998041076E+001                  4.9214446535396264E+003                  6.8055953800741599E-010                  2.0468195011147256E+002                  1.4794563327507892E+000                  2.0320249377872176E+002                  2.3079290334725719E+000                  9.9277192575141548E-001                  0.0000000000000000E+000                  9.1400239478475809E-001 
                                       5                  9.9999999996854271E+001                  3.3407187165836052E+000                  3.6920926126529197E+000                 -9.1671338478743181E+000                  2.3110796038605339E+000                  7.5999999999953471E-001                  2.4000000000046537E-001                  0.0000000000000000E+000                  2.3176593327529390E+025                  5.7075788534908922E-001                 -2.4354807976774714E-001                  2.1913851614679415E+003                  1.5251602446784578E+014                  1.9891999999374251E+035                  9.9999999991028673E+001                  4.9214447356980791E+003                  6.8055958054675249E-010                  2.0468197734831449E+002                  1.4794564315427943E+000                  2.0320252091677170E+002                  2.3079290914733588E+000                  9.9277192623058774E-001                  0.0000000000000000E+000                  9.1400223054534113E-001 
                                       6                  9.9999999985203061E+001                  3.3407187162518550E+000                  3.6920926273278405E+000                 -9.1671337929278121E+000                  2.3110797208355334E+000                  7.5999999999953327E-001                  2.4000000000046678E-001                  0.0000000000000000E+000                  3.3292045432268254E+025                  5.7075788615457357E-001                 -2.4354807915484733E-001                  2.1913851597939788E+003                  1.5251602435134134E+014                  1.9891999997056591E+035                  9.9999999976834857E+001                  4.9214449019949507E+003                  6.8055966665048137E-010                  2.0468203247836658E+002                  1.4794566315076434E+000                  2.0320257584685893E+002                  2.3079292088726433E+000                  9.9277192720047858E-001                  0.0000000000000000E+000                  9.1410094540506492E-001 
                                       7                  9.9999999968466668E+001                  3.3407187157753104E+000                  3.6920926446315492E+000                 -9.1671337281386176E+000                  2.3110798587646997E+000                  7.5999999999953172E-001                  2.4000000000046837E-001                  0.0000000000000000E+000                  3.3292045432268254E+025                  5.7075788731161647E-001                 -2.4354807827444364E-001                  2.1913851573894067E+003                  1.5251602418398794E+014                  1.9891999993727389E+035                  9.9999999960098464E+001                  4.9214450980813690E+003                  6.8055976817817160E-010                  2.0468209748408916E+002                  1.4794568672931696E+000                  2.0320264061679597E+002                  2.3079293473020979E+000                  9.9277192834410843E-001                  0.0000000000000000E+000                  9.1382235810574164E-001 
                                       8                  9.9999999951730260E+001                  3.3407187152987694E+000                  3.6920926705871215E+000                 -9.1671336309550266E+000                  2.3110800656583659E+000                  7.5999999999952916E-001                  2.4000000000047073E-001                  1.1102230246251565E-016                  6.6584090864536500E+025                  5.7075788846865105E-001                 -2.4354807739404630E-001                  2.1913851549848505E+003                  1.5251602401663562E+014                  1.9891999990398184E+035                  9.9999999934993866E+001                  4.9214453922111243E+003                  6.8055992046942100E-010                  2.0468219499267238E+002                  1.4794572209716661E+000                  2.0320273777170073E+002                  2.3079295549461958E+000                  9.9277193005955100E-001                  0.0000000000000000E+000                  9.1400091814914541E-001 
                                       9                  9.9999999918257458E+001                  3.3407187143456833E+000                  3.6920927163776036E+000                 -9.1671334595057665E+000                  2.3110804306568795E+000                  7.5999999999952528E-001                  2.4000000000047483E-001                  0.0000000000000000E+000                  1.0961591440572639E+026                  5.7075789078272843E-001                 -2.4354807563324535E-001                  2.1913851501757222E+003                  1.5251602368192991E+014                  1.9891999983739772E+035                  9.9999999890704700E+001                  4.9214459111110345E+003                  6.8056018913854433E-010                  2.0468236701587657E+002                  1.4794578449268496E+000                  2.0320290917094971E+002                  2.3079299212686055E+000                  9.9277193308590139E-001                  0.0000000000000000E+000                  9.1399988086569528E-001 
