                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20210127"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                          log_Lnuc_ergs_s                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                        luminosity_ergs_s                                    log_L                             log_L_ergs_s                                   radius                                    log_R                                    log_g                                 log_Ledd                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     9837                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9645414757538202E+002                  9.8801534013198955E-001                  7.8128680942701853E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8801534013198955E-001                  7.8128680942701853E-008                  9.9210158214559541E-001                  9.9130071723450675E-001                  8.4876174191406193E+000                 -1.6094823542174119E+001                 -9.8999999999999986E+001                  8.4876174191406193E+000                  4.2072152171348428E+001                  8.4876174191406193E+000                 -1.9809588432498312E+001                 -1.6094823542174119E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2623523683062707E+035                  4.8750559993816027E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8568614372211467E+000                  2.3371173391869366E+040                  6.7841457652687600E+000                  4.0368680517476569E+001                  1.5907753204299933E+001                  1.2016088446447126E+000                  4.5117929188433621E+000                  6.9459135282444873E+000                  2.6804417016904166E-005                  1.6847514136939886E+001                  4.3196477516303833E-001                  7.8140355591925283E+000                  5.8823308464877067E-001                  8.8000425659915571E-001                  1.2195090291725836E+000                  7.6000000098060705E-001                  2.3997446236628034E-001                  2.1880921440029431E-032                  2.4496192824941398E-044                  1.0000014777718332E-099                  1.0000003560648573E-099                  2.2800000001883561E+002                  7.1992337811088774E+001                                        0                                        0                                        2 
                                      10                                     9836                  1.2577892535548831E-004                 -4.8092963083705564E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9645414353973172E+002                  9.8801534013198955E-001                  7.8128680942701853E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8801534013198955E-001                  7.8128680942701853E-008                  9.9276197768748553E-001                  9.9184044399839455E-001                  8.4870404773686481E+000                 -1.6094838864665352E+001                 -9.8999999999999986E+001                  8.4870404773686481E+000                  4.2071575229576453E+001                  8.4870404773686481E+000                 -1.8721689430202382E+001                 -1.6094838864665352E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2623490906655880E+035                  4.8750537426797582E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8568612478175979E+000                  2.3371170557186120E+040                  6.7841457125932969E+000                  4.0368680464801102E+001                  1.5907766114889878E+001                  1.2016091971140792E+000                  4.5117922139046289E+000                  6.9459134344448108E+000                  2.6738897918019056E-005                  1.6847513015630373E+001                  4.3196394777541813E-001                  7.8140352771688990E+000                  5.8823308395314089E-001                  8.8000425432230289E-001                  1.2195090227965939E+000                  7.6000001183193577E-001                  2.3997449773005500E-001                  2.4324046715389363E-031                  8.4382243675962134E-042                  1.0000014777718332E-099                  1.0000003560648573E-099                  2.2800000023671492E+002                  7.1992338507020705E+001                                        0                                        0                                        5 
                                      20                                     9833                  3.3065954102888431E-004                 -4.5974033176711755E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9645411554580403E+002                  9.8801534013198955E-001                  7.8128680942701853E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8801534013198955E-001                  7.8128680942701853E-008                  9.9002832921171324E-001                  9.8894810890381779E-001                  8.4860526876119575E+000                 -1.6094866019682115E+001                 -9.8999999999999986E+001                  8.4860526876119575E+000                  4.2070587439819768E+001                  8.4860526876119575E+000                 -1.8321042874063377E+001                 -1.6094866019682115E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2623432998995658E+035                  4.8750497635982416E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8568609135320875E+000                  2.3371165559979932E+040                  6.7841456197327661E+000                  4.0368680371940577E+001                  1.5907788903290696E+001                  1.2016098192548352E+000                  4.5117909696231173E+000                  6.9459132689280461E+000                  2.6720505000664484E-005                  1.6847510610886228E+001                  4.3196217316605534E-001                  7.8140346724039462E+000                  5.8823308284445319E-001                  8.8000425070566224E-001                  1.2195090126527266E+000                  7.6000002909012032E-001                  2.3997455394626777E-001                  5.3508787616249929E-031                  9.5414955187674990E-041                  1.0000014777718332E-099                  1.0000003560648573E-099                  2.2800000062138238E+002                  7.1992339736255119E+001                                        0                                        0                                        2 
                                      30                                     9833                  6.6438847503013309E-004                 -4.3855103269717945E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9645398115673294E+002                  9.8801534013198955E-001                  7.8128680942701853E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8801534013198955E-001                  7.8128680942701853E-008                  9.9481242232271616E-001                  9.9388784476169934E-001                  8.4845237993086915E+000                 -1.6094909659905959E+001                 -9.8999999999999986E+001                  8.4845237993086915E+000                  4.2069058551516498E+001                  8.4845237993086915E+000                 -1.8045245066044533E+001                 -1.6094909659905959E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2623338606034038E+035                  4.8750432928724220E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8568603698129582E+000                  2.3371157435190944E+040                  6.7841454687539189E+000                  4.0368680220961728E+001                  1.5907825970045778E+001                  1.2016108312036695E+000                  4.5117889457254483E+000                  6.9459129997317897E+000                  2.6641055336481746E-005                  1.6847506393317833E+001                  4.3195904267413249E-001                  7.8140336139472240E+000                  5.8823308128695806E-001                  8.8000424564054258E-001                  1.2195089984256824E+000                  7.6000005328786868E-001                  2.3997463273248179E-001                  8.6233156406794299E-031                  4.8418973739102742E-040                  1.0000014777718332E-099                  1.0000003560648573E-099                  2.2800000124564099E+002                  7.1992341732599641E+001                                        0                                        0                                        2 
                                      40                                     9831                  1.2079977424249309E-003                 -4.1736173362724136E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9645351364649946E+002                  9.8801534013198955E-001                  7.8128680942701853E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8801534013198955E-001                  7.8128680942701853E-008                  9.9499713994805505E-001                  9.9367472963520165E-001                  8.4822100953888899E+000                 -1.6094980817383107E+001                 -9.8999999999999986E+001                  8.4822100953888899E+000                  4.2066744847596695E+001                  8.4822100953888899E+000                 -1.7823003937319239E+001                 -1.6094980817383107E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2623184786649115E+035                  4.8750327945656921E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8568594877692934E+000                  2.3371144270914544E+040                  6.7841452241287126E+000                  4.0368679976336523E+001                  1.5907886106927743E+001                  1.2016124729783961E+000                  4.5117856621759955E+000                  6.9459125631236978E+000                  2.6520473519325286E-005                  1.6847499995005411E+001                  4.3195428396075730E-001                  7.8140320093762048E+000                  5.8823307917055334E-001                  8.8000423875507372E-001                  1.2195089790891911E+000                  7.6000008617718728E-001                  2.3997473982393105E-001                  1.2219718010251751E-030                  1.7670025027854706E-039                  1.0000014777718332E-099                  1.0000003560648573E-099                  2.2800000225673833E+002                  7.1992344969697243E+001                                        0                                        0                                        2 
                                      50                                     9830                  2.0934799571507390E-003                 -3.9617243455730331E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9645254398151752E+002                  9.8801534013198955E-001                  7.8128680942701853E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8801534013198955E-001                  7.8128680942701853E-008                  9.9474976514012936E-001                  9.9388784476169934E-001                  8.4788083616125274E+000                 -1.6095095482845029E+001                 -9.8999999999999986E+001                  8.4788083616125274E+000                  4.2063343113820338E+001                  8.4788083616125274E+000                 -1.7633703198060822E+001                 -1.6095095482845029E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2622932854972389E+035                  4.8750157839638254E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8568580591982720E+000                  2.3371122974129005E+040                  6.7841448283808390E+000                  4.0368679580588648E+001                  1.5907983514252521E+001                  1.2016151322465005E+000                  4.5117803436397859E+000                  6.9459118561265836E+000                  2.6337100778234609E-005                  1.6847489290098132E+001                  4.3194627799288277E-001                  7.8140293301948400E+000                  5.8823307643478762E-001                  8.8000422981592796E-001                  1.2195089540364263E+000                  7.6000012880746970E-001                  2.3997487871937123E-001                  1.5948286474306286E-030                  5.2745896866215999E-039                  1.0000014777718332E-099                  1.0000003560648573E-099                  2.2800000388986214E+002                  7.1992350207092642E+001                                        0                                        0                                        2 
                                      60                                     9827                  3.5358371788245966E-003                 -3.7498313548736522E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9645171995683393E+002                  9.8801534013198955E-001                  7.8128680942702091E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8801534013198955E-001                  7.8128680942702091E-008                  9.9299975195893064E-001                  9.9227127483132360E-001                  8.4739644663599449E+000                 -1.6095280514556951E+001                 -9.8999999999999986E+001                  8.4739644663599449E+000                  4.2058499218567754E+001                  8.4739644663599449E+000                 -1.7467961654762373E+001                 -1.6095280514556951E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2622511897206704E+035                  4.8749882589644984E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8568557520192375E+000                  2.3371088619180916E+040                  6.7841441899786803E+000                  4.0368678942186492E+001                  1.5908140844422045E+001                  1.2016194274034901E+000                  4.5117717533258066E+000                  6.9459107145358807E+000                  2.6091268476652776E-005                  1.6847472708275145E+001                  4.3193390294016543E-001                  7.8140251770883360E+000                  5.8823307301022465E-001                  8.8000421847099353E-001                  1.2195089224452864E+000                  7.6000018263639590E-001                  2.3997505444683073E-001                  1.9902566012437025E-030                  1.4021303934987638E-038                  1.0000014777718332E-099                  1.0000003560648573E-099                  2.2800000651782423E+002                  7.1992358655588077E+001                                        0                                        0                                        2 
                                      70                                     9826                  5.8852851071027829E-003                 -3.5379383641742712E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9645205585863391E+002                  9.8801534013198955E-001                  7.8128680942702091E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8801534013198955E-001                  7.8128680942702091E-008                  9.9307765782317703E-001                  9.9210158214559541E-001                  8.4672988347599230E+000                 -1.6095577285584532E+001                 -9.8999999999999986E+001                  8.4672988347599230E+000                  4.2051833586967732E+001                  8.4672988347599230E+000                 -1.7320791977666421E+001                 -1.6095577285584532E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2621745278048008E+035                  4.8749434505863113E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8568520374529376E+000                  2.3371033366001339E+040                  6.7841431632323550E+000                  4.0368677915440166E+001                  1.5908394169655825E+001                  1.2016263431629286E+000                  4.5117579218069306E+000                  6.9459088768980237E+000                  2.5747011280999744E-005                  1.6847444367493679E+001                  4.3191266064280492E-001                  7.8140180899877043E+000                  5.8823306887893567E-001                  8.8000420441798644E-001                  1.2195088837891559E+000                  7.6000024867444849E-001                  2.3997527084097964E-001                  2.4147054517007569E-030                  3.4502855431915847E-038                  1.0000014777718332E-099                  1.0000003560648573E-099                  2.2800001072628362E+002                  7.1992372231768854E+001                                        0                                        0                                        2 
                                      80                                     9826                  9.7122882133685133E-003                 -3.3260453734748903E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9645311240159026E+002                  9.8801534013198955E-001                  7.8128680942702091E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8801534013198955E-001                  7.8128680942702091E-008                  9.9218642848845973E-001                  9.9139312379163969E-001                  8.4583951323919155E+000                 -1.6096051681338018E+001                 -9.8999999999999986E+001                  8.4583951323919155E+000                  4.2042929884599722E+001                  8.4583951323919155E+000                 -1.7188119779647160E+001                 -1.6096051681338018E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2619931909399851E+035                  4.8748661179257203E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8568460841660572E+000                  2.3370944900297471E+040                  6.7841415193067682E+000                  4.0368676271514573E+001                  1.5908800208917645E+001                  1.2016374277738942E+000                  4.5117357525849986E+000                  6.9459059322161565E+000                  2.5281588036849165E-005                  1.6847398748965084E+001                  4.3187851224986296E-001                  7.8140066771395773E+000                  5.8823306405390985E-001                  8.8000418727530061E-001                  1.2195088375563392E+000                  7.6000032799136563E-001                  2.3997553233092778E-001                  2.8767696538902541E-030                  8.0273033674645272E-038                  1.0000014777718332E-099                  1.0000003560648573E-099                  2.2800001742540016E+002                  7.1992393944275278E+001                                        0                                        0                                        2 
