                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                     200                                     3787                  1.0000000000000000E+003                  0.0000000000000000E+000                  3.4583161630320247E+000                  1.6469124585866796E-001                  7.7145201770557513E+004                  2.7718409620240249E+007                  2.9513801508277080E+001                 -8.0655674114674998E+000                  7.6000281152317195E-001                  2.3505088269998951E-006                  2.3999483796800106E-001                  4.5737919241226712E-028                  2.9354380458592668E-027                  4.0656188620298317E-031                  2.0028887403647522E-046                  1.0000000000000001E+003                  0.0000000000000000E+000                  7.6000284438180245E+002                  2.9644795281805240E-003                  2.3999419113866665E+002                  3.2176654822075410E-025                  2.5688183784971415E-024                  3.2656258847254793E-028                  1.5006706823796565E-043                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999939543341E+002                  2.9372350727739594E+001                  9.9999999322400777E+002                  2.9193620640916279E+001                  5.0765807629693627E+004                  2.8693668620276065E+004                  3.6077105927094410E+005                  6.2854510135158643E+007                  6.2854510135158643E+007                  6.5878927258581270E-015                  2.5486093623464301E+007                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.0913806016505603E+008                                  "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20210127" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       dm                                     grav                                    log_g                                   radius                                radius_cm                               mass_grams                                     mmid                              temperature                                      rho                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                       net_nuclear_energy                               net_energy 
                                       1                  1.0000000000000001E+003                  1.4700251521545407E+000                  4.8879287104728606E+000                 -9.1719655219856193E+000                  4.9853979325663005E+000                  7.6000000000000001E-001                  2.3999999999999996E-001                  0.0000000000000000E+000                  1.9891999999958424E+024                  3.1465819648516008E+004                  4.4978390491040434E+000                  2.9513801508277080E+001                  2.0541015573730681E+012                  1.9892000000000000E+036                  9.9999999999950001E+002                  7.7255375983068778E+004                  6.7303008505407524E-010                  9.6693645155325241E+004                  8.9835206708764119E+004                  6.8584384465611229E+003                  3.8362252452635492E+000                  7.0929567662321252E-002                  0.0000000000000000E+000                 -4.3612057847573258E+000 
                                       2                  9.9999999999900001E+002                  1.4700133660479799E+000                  4.8890459253464460E+000                 -9.1665310854761657E+000                  4.9901787898809342E+000                  7.6000000000000001E-001                  2.3999999999999996E-001                  0.0000000000000000E+000                  1.6174958072849401E+024                  3.1467527565962704E+004                  4.4978626213167310E+000                  2.9513000558451505E+001                  2.0540458128671079E+012                  1.9891999999980107E+036                  9.9999999999859347E+002                  7.7454369915861738E+004                  6.8150479294366718E-010                  9.7763961173647374E+004                  9.0764376979956971E+004                  6.9995841936904080E+003                  3.8450722417643450E+000                  7.1596773592856128E-002                  0.0000000000000000E+000                 -4.3270181795226073E+000 
                                       3                  9.9999999999818692E+002                  1.4700039007886585E+000                  4.8900392409489291E+000                 -9.1620073690919064E+000                  4.9944229838769125E+000                  7.6000000000000001E-001                  2.3999999999999996E-001                  0.0000000000000000E+000                  1.6174958072849401E+024                  3.1468899237982689E+004                  4.4978815518350208E+000                  2.9512357342451381E+001                  2.0540010463199312E+012                  1.9891999999963933E+036                  9.9999999999778038E+002                  7.7631725809011259E+004                  6.8864061141798800E-010                  9.8724054675823470E+004                  9.1598569927629083E+004                  7.1254847481943880E+003                  3.8528144148285897E+000                  7.2175770855361226E-002                  0.0000000000000000E+000                 -4.3053636047524391E+000 
                                       4                  9.9999999999737383E+002                  1.4699945330007400E+000                  4.8907780391527442E+000                 -9.1587517714363837E+000                  4.9975794012700119E+000                  7.6000000000000001E-001                  2.3999999999999996E-001                  0.0000000000000000E+000                  8.0874790364246198E+023                  3.1470256843661115E+004                  4.4979002874105047E+000                  2.9511720763967418E+001                  2.0539567417306042E+012                  1.9891999999947759E+036                  9.9999999999717056E+002                  7.7763901080773197E+004                  6.9382225888381243E-010                  9.9444186933156700E+004                  9.2223985424986036E+004                  7.2202015081706659E+003                  3.8585493184374173E+000                  7.2605566306493730E-002                  0.0000000000000000E+000                 -4.2940884282495952E+000 
                                       5                  9.9999999999696729E+002                  1.4699898838622580E+000                  4.8912683188378425E+000                 -9.1566542919754692E+000                  4.9996710957269892E+000                  7.6000000000000001E-001                  2.3999999999999996E-001                  0.0000000000000000E+000                  8.0874790364246198E+023                  3.1470930631386738E+004                  4.4979095856872915E+000                  2.9511404841596764E+001                  2.0539347541654517E+012                  1.9891999999939672E+036                  9.9999999999676402E+002                  7.7851739151674294E+004                  6.9718126500967555E-010                  9.9924295662598466E+004                  9.2641377686577966E+004                  7.2829179760205006E+003                  3.8623054187333068E+000                  7.2884356379271306E-002                  0.0000000000000000E+000                 -4.2888645579777895E+000 
                                       6                  9.9999999999656075E+002                  1.4699852569750060E+000                  4.8920003811508552E+000                 -9.1535983947913255E+000                  5.0027900011010829E+000                  7.6000000000000001E-001                  2.3999999999999996E-001                  0.0000000000000000E+000                  1.6174958072849481E+024                  3.1471601208621185E+004                  4.4979188394616187E+000                  2.9511090434619067E+001                  2.0539128720686179E+012                  1.9891999999931585E+036                  9.9999999999615420E+002                  7.7983079492763456E+004                  7.0210425530381601E-010                  1.0064448944731471E+005                  9.3268126733072379E+004                  7.3763627142423375E+003                  3.8678422639188037E+000                  7.3291272624555454E-002                  0.0000000000000000E+000                 -4.2842093683451878E+000 
                                       7                  9.9999999999574766E+002                  1.4699760676472984E+000                  4.8929684264166999E+000                 -9.1495991920905748E+000                  5.0069143497117601E+000                  7.6000000000000012E-001                  2.3999999999999996E-001                  0.0000000000000000E+000                  1.6174958072849030E+024                  3.1472933065151174E+004                  4.4979372181166815E+000                  2.9510466009895090E+001                  2.0538694133566785E+012                  1.9891999999915411E+036                  9.9999999999534111E+002                  7.8157098163854840E+004                  7.0859944510905975E-010                  1.0160482910360530E+005                  9.4103426054593991E+004                  7.5014030490113018E+003                  3.8751425006524065E+000                  7.3829198033119131E-002                  0.0000000000000000E+000                 -4.2834489276167949E+000 
                                       8                  9.9999999999493434E+002                  1.4699669619757805E+000                  4.8939282916508207E+000                 -9.1456770179012246E+000                  5.0110002399943347E+000                  7.6000000000000012E-001                  2.3999999999999996E-001                  0.0000000000000000E+000                  1.6174958072849030E+024                  3.1474252852554942E+004                  4.4979554294593642E+000                  2.9509847282731727E+001                  2.0538263511835627E+012                  1.9891999999899234E+036                  9.9999999999452780E+002                  7.8330029779168995E+004                  7.1502789017496035E-010                  1.0256524930343847E+005                  9.4939053166159312E+004                  7.6261961372791484E+003                  3.8823079706521337E+000                  7.4354581001574022E-002                  0.0000000000000000E+000                 -4.2886010788684867E+000 
                                       9                  9.9999999999412125E+002                  1.4699579376035530E+000                  4.8948801100759720E+000                 -9.1417937772119320E+000                  5.0150483826720915E+000                  7.6000000000000001E-001                  2.3999999999999996E-001                  0.0000000000000000E+000                  1.6174958072849449E+024                  3.1475560910942804E+004                  4.4979734782034662E+000                  2.9509234092625668E+001                  2.0537836743785613E+012                  1.9891999999883060E+036                  9.9999999999371471E+002                  7.8501889492893344E+004                  7.2144997514703086E-010                  1.0352574933435299E+005                  9.5775002028895033E+004                  7.7507473054579586E+003                  3.8893435779888978E+000                  7.4867821341970481E-002                  0.0000000000000000E+000                 -4.2993317838862231E+000 
